0,1,2
MMCD_c11,0,MMCD_c11: cpd00067_c11 + mmcoa-S-c_c11 --> cpd00011_c11 + cpd00086_c11
HBUR1_c11,13.05235,HBUR1_c11: aaacp-c_c11 + cpd00005_c11 + cpd00067_c11 --> 3hbacp-c_c11 + cpd00006_c11
rxn29994_c11,0,rxn29994_c11: cpd00041_c11 --> cpd00106_c11 + cpd19013_c11
rxn00213_c11,0.023573893,rxn00213_c11: cpd00062_c11 + cpd00067_c11 + cpd00089_c11 <=> cpd00012_c11 + cpd00026_c11
rxn00533_c11,0,rxn00533_c11: cpd00002_c11 + cpd00022_c11 + cpd00242_c11 --> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd00070_c11
rxn01973_c11,0.607478881,rxn01973_c11: cpd00001_c11 + cpd02698_c11 --> cpd00036_c11 + cpd00504_c11
rxn02475_c11,0,rxn02475_c11: cpd00001_c11 + cpd00957_c11 --> cpd00013_c11 + cpd00931_c11
OCDMAT8_c11,0,OCDMAT8_c11: 2tocdacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + ocdacp-c_c11
rxn03512_c11,0,rxn03512_c11: cpd00067_c11 + cpd03835_c11 --> cpd03832_c11
rxn01000_c11,0,rxn01000_c11: cpd00067_c11 + cpd00219_c11 --> cpd00001_c11 + cpd00011_c11 + cpd00143_c11
rxn03537_c11,0,rxn03537_c11: cpd00038_c11 + cpd00067_c11 + cpd03919_c11 --> cpd00012_c11 + cpd03920_c11
rxn00122_c11,0,rxn00122_c11: cpd00002_c11 + cpd00050_c11 + cpd00067_c11 --> cpd00012_c11 + cpd00015_c11
rxn05145_c11,0,rxn05145_c11: cpd00001_c11 + cpd00002_c11 + cpd00009_e2 --> cpd00008_c11 + 2.0 cpd00009_c11 + cpd00067_c11
rxn00283_c11,0,rxn00283_c11: cpd00035_c11 <=> cpd00117_c11
rxn03893_c11,0,rxn03893_c11: cpd00136_c11 + cpd02557_c11 --> cpd00012_c11 + cpd03443_c11
rxn20710_c11,0,rxn20710_c11: cpd03917_c11 + cpd19039_c11 --> cpd00001_c11 + cpd03918_c11
rxn01917_c11,0,rxn01917_c11: cpd00002_c11 + cpd00477_c11 --> cpd00008_c11 + cpd02552_c11
rxn03146_c11,0,rxn03146_c11: cpd00001_c11 + cpd02886_c11 --> cpd00029_c11 + cpd03584_c11
rxn02130_c11,0,rxn02130_c11: cpd00001_c11 + cpd00620_c11 --> cpd00644_c11 + cpd01160_c11
DDMAT5_c11,13.05235,DDMAT5_c11: 2tddacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + ddeacp-c_c11
NACCYT_c11,0,NACCYT_c11: cpd00052_c11 + cpd00232_c11 --> cmpacna-c_c11 + cpd00012_c11
rxn30469_c11,0,rxn30469_c11: cpd00001_c11 + cpd00002_c11 + 0.5 cpd00004_c11 + cpd03915_c11 --> 0.5 cpd00003_c11 + cpd00009_c11 + cpd00012_c11 + 0.5 cpd00067_c11 + cpd03916_c11
rxn00224_c11,0,rxn00224_c11: cpd01476_c11 + cpd10515_c11 --> cpd00028_c11 + cpd00067_c11
rxn08756_c11,0,rxn08756_c11: cpd00004_c11 + cpd00067_c11 + cpd08615_c11 --> cpd00001_c11 + cpd00003_c11 + cpd00113_c11
rxn05582_c11,-0.179333101,rxn05582_c11: cpd00033_e2 + cpd00067_e2 <=> cpd00033_c11 + cpd00067_c11
rxn02897_c11,0,rxn02897_c11: cpd00873_c11 + cpd01997_c11 --> cpd00067_c11 + cpd00218_c11 + cpd02904_c11
rxn02312_c11,0,rxn02312_c11: cpd00017_c11 + cpd00800_c11 <=> cpd00764_c11 + cpd02701_c11
CRET_c11,0,CRET_c11: cpd00001_c11 + crtn-c_c11 --> creat-c_c11
rxn01127_c11,0,rxn01127_c11: cpd00002_c11 + cpd00294_c11 <=> cpd00008_c11 + cpd00177_c11
rxn02473_c11,0,rxn02473_c11: cpd00067_c11 + cpd02843_c11 --> cpd00001_c11 + cpd00930_c11
rxn01021_c11,0,rxn01021_c11: cpd00001_c11 + cpd00147_c11 --> cpd00128_c11 + cpd01981_c11
rxn00214_c11,0,rxn00214_c11: cpd00026_c11 <=> cpd00043_c11
HODR8_c11,0,HODR8_c11: 3oxocdacp-c_c11 + cpd00005_c11 + cpd00067_c11 --> 3hocdacp-c_c11 + cpd00006_c11
rxn00292_c11,0,rxn00292_c11: cpd00001_c11 + cpd00037_c11 <=> cpd00014_c11 + cpd00067_c11 + cpd00492_c11
ADOCBLS_c11,0,ADOCBLS_c11: 0.5 cpd00003_c11 + 0.5 cpd00067_c11 + cpd03423_c11 + cpd03920_c11 --> 0.5 cpd00004_c11 + cpd00126_c11 + cpd00166_c11
rxn30022_c11,0,rxn30022_c11: cpd00002_c11 + cpd00023_c11 + cpd19013_c11 --> cpd00008_c11 + cpd00009_c11 + cpd00053_c11 + cpd00067_c11
rxn00237_c11,0,rxn00237_c11: cpd00002_c11 + cpd00031_c11 <=> cpd00008_c11 + cpd00038_c11
rxn00154_c11,0,rxn00154_c11: cpd00003_c11 + cpd00010_c11 + cpd00020_c11 --> cpd00004_c11 + cpd00011_c11 + cpd00022_c11
rxn06080_c11,0,rxn06080_c11: cpd00001_c11 + cpd11454_c11 --> cpd00009_c11 + cpd11652_c11
rxn06377_c11,0,rxn06377_c11: cpd00033_c11 + cpd00067_c11 + cpd12005_c11 --> cpd00011_c11 + cpd11830_c11
rxn00615_c11,0,rxn00615_c11: cpd00002_c11 + cpd00100_c11 --> cpd00008_c11 + cpd00067_c11 + cpd00080_c11
rxn01207_c11,0,rxn01207_c11: cpd00003_c11 + cpd00010_c11 + cpd00200_c11 <=> cpd00004_c11 + cpd00011_c11 + cpd01882_c11
rxn19870_c11,1.013344133,rxn19870_c11: cpd00054_c11 + cpd00087_c11 <=> cpd00001_c11 + cpd00033_c11 + cpd00125_c11
rxn02175_c11,0,rxn02175_c11: cpd00002_c11 + cpd00067_c11 + cpd00834_c11 <=> cpd00012_c11 + cpd00655_c11
rxn02003_c11,0,rxn02003_c11: cpd00006_c11 + cpd02113_c11 <=> cpd00005_c11 + cpd00067_c11 + cpd00522_c11
rxn00225_c11,-181.5643417,rxn00225_c11: cpd00002_c11 + cpd00029_c11 <=> cpd00008_c11 + cpd00196_c11
rxn32479_c11,0,rxn32479_c11: cpd00005_c11 + cpd00067_c11 + cpd02097_c11 --> cpd00006_c11 + cpd00009_c11 + cpd00858_c11
rxn00980_c11,0,rxn00980_c11: cpd00001_c11 + cpd00727_c11 --> cpd00009_c11 + cpd00139_c11
rxn32754_c11,0,rxn32754_c11: cpd00485_c11 <=> cpd00235_c11
rxn35571_c11,0.316886941,rxn35571_c11: cpd00002_c11 + cpd00041_c11 + cpd02893_c11 <=> cpd00008_c11 + cpd00009_c11 + cpd00067_c11 + cpd19032_c11
rxn25164_c11,0,rxn25164_c11: cpd00029_c11 + cpd00078_c11 --> cpd00022_c11 + cpd00036_c11
rxn00303_c11,0,rxn00303_c11: cpd00002_c11 + cpd00038_c11 --> cpd00018_c11 + cpd00067_c11 + cpd02740_c11
rxn03891_c11,0,rxn03891_c11: cpd00113_c11 + cpd00906_c11 --> cpd00012_c11 + cpd02590_c11
rxn03638_c11,0,rxn03638_c11: cpd00022_c11 + cpd03671_c11 --> cpd00010_c11 + cpd00067_c11 + cpd02611_c11
rxn01643_c11,-1.879910722,rxn01643_c11: cpd00006_c11 + cpd00009_c11 + cpd00346_c11 <=> cpd00005_c11 + cpd00067_c11 + cpd01977_c11
rxn02831_c11,0,rxn02831_c11: cpd00002_c11 + cpd00010_c11 + cpd01772_c11 --> cpd00012_c11 + cpd00018_c11 + cpd02021_c11
rxn00649_c11,0,rxn00649_c11: cpd00239_c11 + cpd00722_c11 --> cpd00029_c11 + cpd00067_c11 + cpd00084_c11
rxn06437_c11,0,rxn06437_c11: cpd00002_c11 + cpd00053_c11 + cpd11911_c11 --> cpd00012_c11 + cpd00018_c11 + cpd00067_c11 + cpd12060_c11
rxn03031_c11,0,rxn03031_c11: cpd00001_c11 + cpd00078_c11 + cpd02465_c11 --> cpd00010_c11 + cpd02724_c11
TDMAT6_c11,13.00961827,TDMAT6_c11: 2ttdeacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + cpd11475_c11
rxn05119_c11,5.15E-07,rxn05119_c11: cpd00003_c11 + cpd00041_c11 --> cpd00004_c11 + 2.0 cpd00067_c11 + cpd03470_c11
rxn00260_c11,0,rxn00260_c11: cpd00024_c11 + cpd00041_c11 <=> cpd00023_c11 + cpd00032_c11
rxn05467_c11,0,rxn05467_c11: cpd00011_e2 <=> cpd00011_c11
rxn00727_c11,0,rxn00727_c11: cpd00053_c11 + cpd00216_c11 --> cpd00020_c11 + cpd00023_c11 + cpd00067_c11 + cpd00093_c11
rxn00077_c11,0,rxn00077_c11: cpd00002_c11 + cpd00003_c11 --> cpd00006_c11 + cpd00008_c11 + cpd00067_c11
rxn30054_c11,0,rxn30054_c11: cpd00001_c11 + cpd02720_c11 --> cpd00009_c11 + cpd29668_c11
HEMAT2_c11,13.05235,HEMAT2_c11: 2theacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + cpd11472_c11
rxn02484_c11,0,rxn02484_c11: cpd00002_c11 + cpd00939_c11 --> cpd00008_c11 + cpd00067_c11 + cpd02775_c11
