0,1
leu-D-c_c11,0
cpd15237_c11,0.553138612
cpd00198_c11,0.14230437
cpd00817_c11,0
cpd17036_c11,0
cpd11574_e2,0
cpd00295_c11,0
cpd03282_c11,0
cpd11574_c11,0
cpd00170_c11,0
cpd00522_c11,0
3hmp-c_c11,0
cpd00244_e2,0
cpd00699_c11,0
cpd00244_c11,0
cpd00807_c11,0
cpd19030_c11,0
Lhpro-c_c11,0
cpd02993_c11,0
cpd00216_c11,0
cpd02375_c11,0.275325631
cpd02884_c11,0
cpd00235_c11,0
cpd02720_c11,0
cpd00105_c11,0
cpd00012_c11,2.027216942
cpd00504_c11,0.607478881
cpd02857_c11,0
cpd00149_c11,0
cpd00002_c11,241.3352147
cpd00149_e2,0
cpd00731_c11,0
cpd00931_c11,0
cpd02083_c11,0
cpd00060_c11,0.209219262
cpd03420_c11,0
cpd02654_c11,0
cpd03450_c11,0
cpd03917_c11,0
cpd03839_c11,0
cpd00001_e2,715.3868226
cpd00219_c11,0
cpd00011_e2,41
cpd01476_c11,0
cpd00159_e2,0
cpd00001_c11,133.7315452
cpd00104_c11,0
cpd00011_c11,131.432156
cpd00046_c11,0
cpd00159_c11,0
cpd08286_c11,413.1738457
cpd12225_c11,0
cpd12005_c11,0
cpd01646_c11,0
cpd00800_c11,0
cpd00132_c11,0.328158979
cpd00025_c11,0
cpd00393_c11,0.041380211
cpd00152_c11,0
cpd00330_c11,0
cpd00689_c11,0
cpd02730_c11,0
cpd03426_c11,0
cpd00773_c11,0.044515424
cpd02991_c11,0
cpd02591_c11,0
srb1p-c_c11,0
cpd00421_c11,0
cpd00620_c11,0
cpd02835_c11,0
cpd00890_c11,0
cpd00477_c11,0
cpd02590_c11,0
cpd01160_c11,0
nondp-c_c11,0
cpd08210_c11,0
cpd01080_c11,0.007715453
cpd00299_c11,0.041380211
cpd03834_c11,0
cpd00085_c11,0
cpd03671_c11,0
cpd03832_c11,0
3oxocacp-c_c11,0
cpd00009_e2,1.8
cpd00087_c11,1.013344133
cpd03847_c11,0.042731739
cpd00111_c11,0
cpd03918_c11,0
cpd00102_c11,0.525777915
cpd02904_c11,0
cpd00532_c11,0
cpd00342_c11,0
cpd00009_c11,241.3352147
cpd11475_c11,13.00961827
mmcoa-S-c_c11,0
achms-c_c11,0
